"(Shift-)Click or drag to change value","Drücke Shift(Großschreibung), klicke oder ziehe um den Wert zu verändern"
"(You have to increase php memory_limit before changing this value)","(Du musst das PHP memory_limit erhöhen bevor du diesen Wert änderst)"
"- Click on any of the time parts to increase it","- Klicke auf die gewünschten Zeiträume um diese auszuwählen"
"- Hold mouse button on any of the above buttons for faster selection.","- Halte für eine schnellere Auswahl den Maus-Button auf jeden der oberen Buttons."
"- Use the %s buttons to select month","- Verwende %s Buttons um den Monat auszuwählen"
"- Use the %s, %s buttons to select year","- Verwende die %s, %s Buttons um das Jahr auszuwälen"
"-- Please Select a Category --","-- Bitte wähle eine Kategorie --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> fordert Zugriff zu deinen Zugang an"
"After authorization application will have access to you account.","Nach der Autorisation hat diese Anwendung Zugriff auf deinen Zugang."
"All possible rates were fetched, please click on ""Save"" to apply","Alle verfügbaren Kurse wurden abgefragt, bitte klicke auf <strong>""Speichern""</strong>"
"All rates were fetched, please click on ""Save"" to apply","Alle verfügbaren Kurse wurden abgefragt, bitte klicke auf <strong>""Speichern""</strong>"
"An error occurred while deleting email template data. Please review log and try again.","Beim Leeren der E-Mail Vorlagen Inhalte ist ein Fehler aufgetreten. Bitte überprüfe die Log-Aufzeichung und versuche es erneut."
"An error occurred while finishing process. Please refresh the cache","Ein Fehler ist beim Abschließen dieses Prozesses aufgetreten. Bitte aktualisiere den Cache"
"Are you sure that you want to delete this template?","Bist du sicher, dass du diese Vorlage löschen möchtest?"
"Are you sure that you want to strip tags?","Bist du sicher, dass du die Schlagworte entfernen möchtest?"
"Are you sure you want to do this?","Bist du sicher, dass du das tun möchtest?"
"Are you sure you want to proceed?","Bist du sicher, dass du fortfahren möchtest?"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Das Chart ist deaktiviert. Wenn du es aktivieren willst, klicke <a href=""%s"">hier</a>."
"Distributed under GNU LGPL. See %s for details.","Veröffentlicht unter der GNU LGPL. Details erfährst du hier: %s."
"Do you really want to KILL parallel process and start new indexing process?","Möchtest du wirklich alle parallelen Prozesse abbrechen und den Indizierungsprozess neustarten?"
"Do you really want to proceed?","Möchtest du wirklich fortfahren?"
"For latest version visit: %s","Die aktuellste Version erhältst du hier: %s"
"Give the verifier code to application administrator","Bitte gib den Bestätigungscode dem Administrator der Anwendung"
"Help Us Keep Magento Healthy - Report All Bugs","Hilf uns, Magento noch besser zu machen - Melde alle Fehler"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Sollten wir einen Account unter %s finden können, erhältst du eine E-Mail mit einem Link, mit dem du dein Passwort zurücksetzen kannst."
"If this message persists, please contact the store owner.","Wenn diese Nachricht dauerhaft bleibt, kontaktiere bitte den Shop-Betreiber."
"Invalid Form Key. Please refresh the page.","Ungültiger Form Key. Bitte aktualisiere die Seite."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Ungültige POST-Daten (Bitte prüfe post_max_size und upload_max_filesize Einstellungen in deiner php.ini Datei)."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Ungültiger Sender Name ""%s"". Bitte verwende ausschließlich sichtbare Zeichen und keine Leerräume."
"JavaScript seems to be disabled in your browser.","JavaScript scheint in deinem Browser deaktiviert zu sein."
"Log in to use <strong>%s</strong>","Bitte melde dich an, um <strong>%s</strong> zu nutzen"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Stelle sicher, dass die Zeichenkodierung der Dateien beim Speichern einheitlich in einer der unterstützten Formate angelegt ist (UTF-8 oder ANSI)."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem du dich an deinem PayPal Advanced Account angemeldet hast, gehe auf Service Settings - Hosted Checkout Pages - Set Up menu und stelle unten beschrieben Optionen ein"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem du dich an deinem PayPal Payflow Link Account angemeldet hast, gehe auf Service Settings - Hosted Checkout Pages - Set Up menu und stelle unten beschrieben Optionen ein"
"One or more media files failed to be synchronized during the media storages syncronization process. Refer to the log file for details.","Eine oder mehrere Mediendateien konnten nicht synchronisiert werden während der Synchronisation des Medienspeichers. Du findest mehr Details in den Logdateien."
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Bitte bestätige, dass du die Seite wechseln möchtest. Dadurch gehen alle nicht gespeicherten Informationen verloren!"
"Please enter 6 or more characters.","Bitte gib 6 oder mehr Zeichen ein."
"Please enter a number greater than 0 in this field.","Bitte gib eine Zahl größer 0 in dieses Feld ein."
"Please enter a valid $ amount. For example $100.00.","Bitte gib einen gültigen Betrag ein. Zum Beispiel 100,00 €."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte gib eine gültige URL ein. Zum Beispiel http://www.beispiel.de oder www.beispiel.de"
"Please enter a valid URL. http:// is required","Bitte gib eine gültige URL ein. http:// wird benötigt"
"Please enter a valid credit card number.","Bitte gib eine gültige Kreditkartennummer ein."
"Please enter a valid date.","Bitte gib ein gültiges Datum ein."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte gib eine gültige E-Mail Adresse ein. Zum Beispiel johndoe@domain.de."
"Please enter a valid email.","Bitte gib eine gültige E-Mail Adresse ein."
"Please enter a valid number in this field.","Bitte gib eine gültige Nummer in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte gib eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte gib eine gültige Sozialversicherungsnummer ein. Zum Beispiel 123-45-6789."
"Please enter a valid value from list","Bitte gib einen gültigen Wert aus der Liste ein"
"Please enter a valid value, ex: 10,20,30","Bitte gib einen gültigen Wert ein, z. B. 10,20,30"
"Please enter a valid zip code.","Bitte gib eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte gib eine gültige Postleitzahl ein. Zum Beispiel 21335."
"Please enter another credit card number to complete your purchase.","Bitte gib eine weitere Kreditkartennummer ein um deine Bestellung abzuschließen."
