"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus deinem Warenkorb entfernt werden?"
"Based on your selection, you may be interested in the following items:","Ausgehend von deiner Auswahl könntest du auch an den folgenden Artikel interessiert sein:"
"Checkout Method","Wie möchtest du zur Kasse gehen?"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">Klicke hier</a> , um die Bestellbestätigung auszudrucken."
"Click <a href=""%s"">here</a> to continue shopping.","Klicke <a href=""%s"">hier</a> um den Einkauf fortzusetzen."
"Easy access to your order history and status","Einfacher Zugriff auf deine bisherigen Bestellungen und deren Status"
"Enter your coupon code if you have one.","Wenn du einen Rabattcode besitzt, gib diesen bitte hier ein."
"Enter your destination to get a shipping estimate.","Gib deinen Zielort ein, um die geschätzten Versandkosten anzuzeigen."
"Login/Registration Before","Bitte melde dich an oder registriere dich"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","Der Gesamtbetrag der Bestellung wird dir noch einmal angezeigt, bevor du die Bestellung aufgibst."
"Other Items in Your Order","Andere Artikel in deiner Bestellung"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptiere unsere Bedingungen, bevor du deine Bestellung abschließen."
"Please agree to all Terms and Conditions before placing the orders.","Bitte akzeptiere unsere Bedingungen, bevor du deine Bestellung abschließen."
"Please agree to all the terms and conditions before placing the order.","Bitte akzeptiere unsere Bedingungen, bevor du deine Bestellung abschließen."
"Please check billing address information.","Bitte prüfe die Rechnungsadresse."
"Please check shipping address information.","Bitte prüfe die Versandanschrift."
"Please check shipping addresses information.","Bitte prüfe die Versandanschriften."
"Please choose to register or to checkout as a guest","Bitte registriere dich, oder gehe als Gast zur Kasse"
"Please log in below:","Bitte melde dich hier an:"
"Please select region, state or province","Bitte wähle Region, Land oder Bundesland"
"Please select shipping address for applicable items","Bitte wähle die Versandadresse für die entsprechenden Artikel"
"Please select shipping methods for all addresses","Bitte wähle die Versandarten für alle Adressen"
"Please select valid payment method.","Bitte wähle eine gültige Zahlart."
"Please specify payment method.","Bitte bestimme die Bezahlmethode."
"Please specify shipping method.","Bitte bestimme die Versandart."
"Please specify shipping methods for all addresses.","Bitte wähle die Versandarten für alle Adressen."
"Register to Create an Account","Registriere dich, um dein Benutzerkonto anzulegen"
"Register with us for future convenience:","Registriere dich für mehr Komfort bei deinem nächsten Besuch:"
"See price before order confirmation.","Bitte achte vor der Bestellbestätigung auf den Preis."
"Select a billing address from your address book or enter a new address.","Wähle eine Rechnungsadresse aus deinem Adressbuch oder lege eine neue Adresse an."
"Select a shipping address from your address book or enter a new address.","Wähle eine Versandadresse aus deinem Adressbuch oder lege eine neue Adresse ein."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Entschuldige, aber ein Bezahlvorgang als Gast ist nicht möglich. Bitte versuche es zu einem späteren Zeitpunkt erneut oder nimm Kontakt mit dem Shopbetreiber auf."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Entschuldige, aber ein Bezahlvorgang als Gast ist nicht möglich. Bitte versuche es zu einem späteren Zeitpunkt erneut oder nimm Kontakt mit dem Shopbetreiber auf."
"Subtotal must exceed minimum order amount","Bitte beachte die Mindestbestellsumme"
"Thank you for your purchase!","Vielen Dank für deine Bestellung!"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Mit dieser eMailadresse ist bereits ein Kundenkonto registriert worden. Bitte melde dich mit dieser eMailadresse an oder erstelle mit einer anderen eMailadresse ein neues Kundenkonto."
"There was an error processing your order. Please contact us or try again later.","Bei der Verarbeitung deiner Bestellung ist ein Fehler aufgetreten. Kontaktiere uns oder probiere es bitte später erneut."
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zur Zeit bearbeiten wir deine Bestellung... Du wirst bald eine E-Mail mit Details zu deiner Bestellung erhalten.<br/>Nach erfolgtem Versand erhältst du eine weitere E-Mail mit einem Link zur Sendungsverfolgung."
"You have no items in your shopping cart.","Du hast keine Artikel im Warenkorb."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du erhältst eine Bestellbestätigung per eMail mit weiteren Informationen und einem Link, um die Bestellung weiterverfolgen zu können."
"Your Checkout Progress","Dein Bestellfortschritt"
"Your billing agreement # is: %s.","Deine Zahlungsvereinbarungsnummer lautet: %s."
"Your order # is: %s.","Deine Bestellnummer lautet: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","deine Bestellung kann momentan nicht abgeschlossen werden, da keine Bezahlmethoden dafür verfügbar sind."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","deine Bestellung kann momentan nicht abgeschlossen werden, da keine Versandarten dafür verfügbar sind."
"Your order has been received.","Wir haben deine Bestellung erhalten."
"Your order number is ","Deine Bestellnummer lautet "
"Your recurring payment profiles:","Deine wiederkehrenden Zahlungen:"
