"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Achtung!</strong> Sollten sie ein CDN verwenden, kann es passieren, dass JavaScript nicht korrekt arbeitet, wenn das CDN nicht innerhalb deiner Subdomain liegt."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Achtung!</strong> Wenn du den StoreCode in URLs verwendest, kann es passieren, dass das System nicht ordnungsgemäß arbeitet, wenn URLs ohne StoreCode im Dritthersteller-Anwendungen (PayPal o.ä.) verwendet werden."
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Nachdem du einen neuen Speicherort für die Medienspeicherung festgelegt hast, klicke bitte auf den ""Synchronisieren""-Button um alle Medien zum neuen Speicherort zu kopieren. Deine Medien sind solange am neuen Speicherort verfügbar, bis der Synchronisationsvorgang abgeschlossen ist."
"Allows customers to stay logged in when switching between different stores.","Kunden erlauben eingeloggt zu bleiben wenn du zwischen den Stores wechselst."
"An error occurred while saving. Please review the error log.","Beim Speichern ist ein Fehler aufgetreten, bitte schaue für weitere Informationen in die Log-Aufzeichnung."
"Are you sure?","Bist du sicher?"
"Before modifying the store view code please make sure that it is not used in index.php.","Bevor du den StoreView-Code veränderst, stelle unbedingt sicher, dass dieser weder in der index.php, noch in der Apache-Konfiguration verwendet wird!"
"Before modifying the website code please make sure that it is not used in index.php.","Bevor du den Website-Code veränderst, stelle unbedingt sicher, dass dieser weder in der index.php, noch in der Apache-Konfiguration verwendet wird!"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache-Speicher enthält möglicherweise zusätzliche Daten. Möchtest du ihn wirklich leeren?"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Durch das Löschen von %1$s werden die mit %1$s verbundenen Informationen (z.B. Kategorien, Artikel, etc.) nicht gelöscht, %1$s kann jedoch nicht wiederhergestellt werden! Bitte erstelle daher eine Datenbanksicherung bevor du %1$s löschst."
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Achte darauf, dass die Basis-URL mit einem '/' (Slash) endet, z.B. http://ihredomain/magento/"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Bitte gib 6 oder mehr Zeichen ein. Leerzeichen am Anfang oder Ende der Zeichenkette werden entfernt."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Bitte gib 7 oder mehr Zeichen ein. Ein Passwort sollte sowohl aus Ziffern wie aus Buchstaben bestehen."
"Please enter a number 0 or greater in this field.","Bitte trage eine Zahl größer/gleich 0 in dieses Feld ein."
"Please enter a number 1 or greater in this field.","Bitte trage eine Zahl größer/gleich 1 in dieses Feld ein."
"Please enter a number greater than 0 in this field.","Bitte gib eine Zahl größer 0 in dieses Feld ein."
"Please enter a number lower than 100.","Bitte trage keine Zahl größer/gleich 100 in dieses Feld ein."
"Please enter a valid $ amount. For example $100.00.","Bitte gib einen gültigen Betrag ein. Zum Beispiel 100,00 €."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Bitte gib einen gültigen URL-Bezeichner ein. Zum Beispiel ""beispiel-seite"", ""beispiel-seite.html"" or ""unterverzeichnis/beispiel-seite""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte gib eine gültige URL ein. Zum Beispiel http://www.beispiel.de oder www.beispiel.de"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Bitte gib eine gültige URL ein. Mögliche Protokolle (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Bitte gib einen gültigen XML-Identifizierer an. Zum Beispiel irgendetwas_1, block5, id-4."
"Please enter a valid credit card number.","Bitte gib eine gültige Kreditkartennummer ein."
"Please enter a valid credit card verification number.","Bitte trage eine gültige Kreditkarten-Prüfnummer ein."
"Please enter a valid date between %s and %s","Bitte gib ein gültiges Datum zwischen dem %s und %s an"
"Please enter a valid date equal to or greater than %s","Bitte gib ein gültiges Datum am oder nach dem %s an"
"Please enter a valid date less than or equal to %s","Bitte gib ein gültiges Datum am oder vor dem %s an"
"Please enter a valid date.","Bitte gib ein gültiges Datum ein."
"Please enter a valid day (1-%d).","Bitte gib einen gültigen Tag (1-%d) an."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte gib eine gültige E-Mail Adresse ein. Zum Beispiel johndoe@domain.de."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Bitte trage eine gültige Faxnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid full date","Bitte gib eine vollständiges, gültiges Datum an"
"Please enter a valid month (1-12).","Bitte gib einen gültigen Monat (1-12) an."
"Please enter a valid number in this field.","Bitte gib eine gültige Nummer in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte gib eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte gib eine gültige Sozialversicherungsnummer ein. Zum Beispiel 123-45-6789."
"Please enter a valid year (1900-%d).","Bitte gib ein gültiges Jahr (1900-%d) an."
"Please enter a valid zip code.","Bitte gib eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte gib eine gültige Postleitzahl ein. Zum Beispiel 21335."
"Please enter issue number or start date for switch/solo card type.","Bitte gib eine Vorgangsnummer oder ein Startdatum switch/solo Karten an."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Bitte gib eine gültige CSS-Länge an. Beispielsweise 100px, 77pt, 20em, .5ex oder 50%."
"Please make sure your passwords match.","Bitte stelle sicher, dass die beiden Passworte identisch sind."
"Please select a file","Bitte wähle eine Datei"
"Please select an option.","Bitte wähle eine Option."
"Please select one of the above options.","Bitte wähle eine der oberen Optionen."
"Please select one of the options.","Bitte wähle eine der Optionen."
"Please set available and/or protected paths list(s) before validation.","Bitte gib eine List der verfügbaren und/oder geschützten Pfade an, bevor du die Prüfung durchführst."
"Please specify either a category or a product, or both.","Bitte gib entweder eine Kategorie oder einen Artikel oder beides an."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte nur Ziffern in diesem Feld verwenden. Vermeide Leerzeichen oder andere Zeichen (z. B. Punkt oder Komma)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte verwende dieses Datumsformat: tt/mm/jjjj. Zum Beispiel 17/03/2006 für den 17. März 2006."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Die Eingabe %s ist ungültig. Bitte beachte das Eingabeformat ""http://domain.com/""."
"Unable to delete store view. Please, try again later.","Diese StoreView kann nicht gelöscht werden. Versuche es später noch einmal."
"Unable to delete store. Please, try again later.","Dieser Store kann nicht gelöscht werden. Versuche es später noch einmal."
