"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Kontobestätigung ist erforderlich. Bitte beachte dazu den Bestätigungslink in der E-Mail. Um deine Bestätigung noch einmal versenden zu lassen, <a href=""%s"">klicke hier</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Kontobestätigung ist erforderlich. Bitte beachte dazu den Bestätigungslink in der E-Mail. Um deine Bestätigung noch einmal versenden zu lassen, <a href=""%s"">klicke hier</a>."
"Are you sure that you want to remove this item?","Bist du sicher, dass du diesen Artikel entfernen willst?"
"Are you sure you want to cancel adding of this address?","Bist du sicher, dass du die Adresseingabe abbrechen willst?"
"Are you sure?","Bist du sicher?"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn du in unserem Shop ein Benutzerkonto einrichtest, wirst du schneller durch den Bestellvorgang geführt, kannst mehrere Versandadressen speichern, deinen bisherigen Bestellablauf verfolgen und vieles mehr."
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von deiner Benutzerkonto-Übersicht aus hast du die Möglichkeit, deine letzten Vorgänge einzusehen und deine Benutzerkonto-Daten zu bearbeiten. Wähle dazu einen der untenstehenden Links, um Informationen anzusehen oder zu bearbeiten."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Sollten wir einen Account unter %s finden können, erhältst du eine E-Mail mit einem Link, mit dem du dein Passwort zurücksetzen kannst."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","Wenn du ein registrierter Kunde mit USt.ID bist, <a href=""%s"">klicke bitte hier</a> um deine Rechnungsadresse für eine korrekte USt.-Berechnung einzutragen."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Wenn du ein registrierter Kunde mit USt.ID bist, <a href=""%s"">klicke bitte hier</a> um deine Versandanschrift für eine korrekte USt.-Berechnung einzutragen."
