"(Make sure you keep it in a safe place.)","(bewahre ihn an einem sicheren Platz auf.)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Zusätzlicher Pfad nach der Basis-URL, um auf deinen Administrationsbereich zuzugreifen (z.B. backend, control etc.)."
"After successfull installation please click the button below.","Nach erfolgreicher Installation klicke bitte den folgenden Button."
"All packages were installed, click 'OK' to continue with installation.","Alle Pakete wurden installiert, klicke auf 'OK', um mit der Installation fortzufahren."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativ kannst du auch die Methode 'Manuelle Downloads und Upgrades' versuchen."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Bevor du dich zum Shop begibst, notiere dir bitte dein Verschlüsselungpasswort (Magento nutzt diesen Schlüssel, um Passwörter, Kreditkartendaten etc. zu verschlüsseln)."
"Check out our","Lies hierzu unsere"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Aktiviere diese Option, falls bei der Überprüfung der sicheren Verbindung Probleme auftraten. Zum Beispiel wenn eine HTTP-Authentifikation notwendig sein sollte."
"Check this box only if it is not possible to automatically validate the Base URL.","Aktiviere diese Option nur, wenn die Basis-URL nicht automatisch überprüft werden kann."
"Choose this if you would like to test frontend and backend functionality.","Wähle diese Option, wenn du die Shop- und Administrationsoberfläche testen möchtest."
"Enable this option if you want the charts to be displayed on Dashboard.","Aktiviere diese Option, wenn du eine grafische Auswertung der Verkaufszahlen auf deiner Übersichtsseite anzeigen möchtest."
"Enable this option only if you have SSL available.","Aktiviere diese Option nur, wenn du über ein gültiges SSL Zertifikat verfügst."
"Get ready to experience Open-Source eCommerce Evolved.","Mache sich bereit, Open-Source eCommerce zu erleben."
"Having trouble installing Magento?","Hast du Probleme bei der Installation von Magento?"
"Help Us to Keep Magento Healthy","Hilf uns, Magento noch besser zu machen"
"If you are a developer and would like to have the latest public updates, choose this option.","Bist du Entwickler und möchten stets die aktuellsten, öffentlichen Updates erhalten, aktiviere bitte diese Option."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Solltest du PHP als CGI-Wrapper laufen lassen, ist es möglich, dass deine PHP-Skripte mit dem gleichen Benutzer laufen, mit dem du auch die Magento-Dateien hochgeladen hast."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Solltest du die Installation über eine bestehende Magento-Instanz bevorzugen, wähle bitte diese Option."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Wenn du nicht möchtest, dass die Magento-Ordner durch den Webserver-Prozess beschreibbar sind oder wenn du diese Einstellung nicht ändern kannst, kannst du das ausführbare PEAR im Hauptordner der Magentoinstallation verwenden."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Wenn du die vollständigen Pakete heruntergeladen hast oder Magento via SVN installierst, solltest du die Paketüberprüfung und -installation überspringen, indem du auf den folgenden Button klickst."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Wenn du die Magentopakete über die Administrationsoberfläche selbst verwalten möchtest, müssen alle Magento-Ordner und -Dateien durch den Webserver-Prozess beschreibbar sein."
"If your server is running on MS Windows, most probably you will not need to change anything.","Wenn dein Server unter Microsoft Windows läuft, musst du normalerweise keine Änderungen vornehmen."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In allen anderen Fällen musst du die Magento-Dateien für den Benutzer beschreibbar machen, unter welchem der Webserver betrieben wird."
"Please correct the user data and try again.","Bitte korrigiere die Nutzerdaten und versuche es erneut."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Bitte stelle sicher, dass <code>mod_rewrite</code> in der Apache-Konfiguration aktiviert wurde."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Bitte beachte, dass aktuell ausschließlich UNIX, Linux und Mac OS X Shells unterstützt werden. Für Windows verwende bitte die '%s' Option."
"Please set all required settings before clicking Continue","Bitte stelle sicher, dass du alle benötigten Felder ausgefüllt hast, bevor du fortfährst"
"Provide a complete base URL for SSL connection. For example: %s","Bitte gib für eine SSL-Verbindung den vollständigen Basis-URL an (beispielsweise: %s)."
"Report All Bugs","Melde alle Fehler"
"Run this in your shell from Magento root folder:","Gib folgendes in deinem Shellzugang im Hauptverzeichnis von Magento ein:"
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","Bei der Installation der Magento Pakete traten Fehler auf. Bitte lies die Log-Einträge, behebe die Fehler und versuche es erneut."
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Du kannst einen Serverport angeben, bspw.: localhost:3307<br />Wenn du nicht den Standard UNIX socket verwendest, kannst du dies hier angeben, bspw.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Du kannst für eine verbesserte Suchmaschinenunterstützung die folgende Option für serverseitige URL-Rewrites aktivieren."
