"An error occurred while saving your subscription.","Beim Speichern deiner Anmeldung ist ein Fehler aufgetreten."
"Are you sure that you want to delete this template?","Bist du sicher, dass du diese Vorlage löschen möchtest?"
"Are you sure that you want to strip all tags?","Bist du sicher, dass du alle HTML-Tags aus dem Text entfernen möchtest?"
"Do you really want to cancel the queue?","Bist du sicher, dass du diese Warteschlange abbrechen willst?"
"Enter your email address","Gib deine E-Mail Adresse ein"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Klicke auf diesen Link um sich vom Newsletter abzumelden <!-- Dieser Tag ist für den Abmelde-Link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Please enter a valid email address.","Bitte gib eine gültige E-Mail Adresse an."
"Please refer to exeption.log","Bitte sieh in der Datei exeption.log nach."
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Leider gestattet der Administrator keine Gastanmeldung. Bitte <a href=""%s"">registriere dich</a>."
"Thank you for your subscription.","Danke für deine Anmeldung."
"You have been unsubscribed.","Du hast sich erfolgreich abgemeldet."
"Your subscription has been confirmed.","Deine Anmeldung wurde bestätigt."
