"<strong>%s</strong> requests access to your account","<strong>%s</strong> fordert Zugriff auf deinen Zugang an."
"After authorization application will have access to you account.","Nach der Autorisation hat diese Anwendung Zugriff auf deinen Zugang."
"An error occurred. Your authorization request is invalid.","Ein Fehler ist aufgetreten. Deine Autorisationsanfrage ist ungültig."
"Are you sure you want to delete this application?","Bist du sicher, dass du diese Anwendung wirklich löschen willst?"
"Are you sure you want to disable this application?","Bist du sicher, dass du diese Anwendung wirklich deaktivieren willst?"
"Are you sure you want to enable this application?","Bist du sicher, dass du diese Anwendung wirklich aktivieren willst?"
"Give the verifier code to application administrator","Bitte gib den Bestätigungscode dem Administrator der Anwendung"
"Log in to use <strong>%s</strong>","Bitte melde dich an, um <strong>%s</strong> zu nutzen"
"Please login to proceed authorization.","Bitte melde dich an, um mit der Authorisierung fortzufahren."
"Please select needed row(s).","Bitte wähle die erforderliche(n) Zeile(n)."
"Please select revoke status.","Bitte wähle den Widerrufsstatus."
"You have no applications.","Du besitzt keine Anwendungen."
