"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure Validierung ist erforderlich für Maestro Karten. Unterstützung für American Express Karten setzt eine ergänzende Vereinbarung voraus. Erfahre mehr unter <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Beginne Zahlungen per PayPal zu akzeptieren!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Für den Live-Modus ist ein Wert erforderlich. Sieh dazu bitte in deinem CardinalCommerce Vertrag nach."
"Accept credit card and PayPal payments securely.","Akzeptiere sichere Zahlungen via Kreditkarte und PayPal."
"Accept credit cards, debit cards and PayPal payments securely.","Akzeptiere sichere Zahlungen via Kreditkarte, Lastschriftkarte und PayPal."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Akzeptiere Zahlungen in deinem Warenkorb. PayPal wird deine Kreditkarten-Zahlungen über das Payflow Gateway verarbeiten."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Akzeptiere Zahlungen mit einem PCI-konformen Zahlungsvorgang, der deine Kunden auf deiner Seite hält."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Akzeptiere Zahlungen mit einem PCI-konformen Zahlungsvorgang, der deine Kunden auf deiner Seite hält."
"Accept payments with a completely customizable checkout page.","Akzeptiere Zahlungen mit einem angepasst gestalteten Zahlungsvorgang."
"Accept payments with a completely customizable checkout.","Akzeptiere Zahlungen mit einem angepasst gestalteten Zahlungsvorgang."
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Füge PayPal als zusätzliche Zahlungsart hinzu und steigere deine Umsätze."
"Add PayPal as an additional payment method to your checkout page.","Füge PayPal als zusätzliche Zahlungsart hinzu."
"Add another payment method to your existing solution or as a stand-alone option.","Füge deiner bestehenden Lösung eine weitere Zahlungsart hinzu oder biete die Zahlungsart separat an."
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Erlaubte Werte: ""paypal"",""primär"" (Standard), eigener_wert (ein eigener Zahlungsseiten-Stil von deinem Händlerkonto-Profil)."
"Choose a secure bundled payment solution for your business.","Bitte wähle eine sichere Zahlungsartkombination für dein Geschäft."
"Click here if you are not redirected within 10 seconds...","Klicke bitte hier, wenn du nicht binnen 10 Sekunden weitergeleitet wirst ..."
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Verbinde dein Händlerkonto mit einem PCI-konformen Gateway, damit Kunden ihren Warenkorb bezahlen können ohne deine Seite zu verlassen."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Verbinde dein Händlerkonto mit einem individuell gestalteten Gateway, damit Kunden ihren Warenkorb bezahlen können ohne deine Seite zu verlassen."
"Don't have a PayPal account? Simply enter your email address.","Noch kein PayPal Konto? Gib einfach eine E-Mail Adresse in das Feld ein."
"Email Associated with PayPal Merchant Account","E-Mail Adresse deines PayPal Händlerkontos"
"Email Associated with PayPal Merchant Account (Optional)","E-Mail Adresse deines PayPal Händlerkontos (Optional)"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Wenn dieses Feld leer bleibt, wird ein Standardwert verwendet. Eine individuelle URL kann in deinem CardinalCommerce Vertrag enthalten sein."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Wenn du nicht über mehrere Benutzer in deinem Kundenkonto verfügst, gib hier bitte deine Händlerzugangsdaten erneut ein."
"Items in Your Shopping Cart","Artikel in deinem Warenkorb"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Händler musst du für die Verwendung der ""Zahlungsvereinbarung"" bei PayPal anmelden. Bitte aktiviere diese Option erst, wenn PayPal die Zahlungsvereinbarungen für dein Händlerkonto freigeschaltet hat."
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Du weißt nicht, welche PayPal Zahlungsart du nutzen willst? Klicke <a href=""%s"" target=""_blank"">hier</a> um mehr zu erfahren."
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Akzeptiere Kreditkarten- und PayPalzahlungen.</i>"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal unterstützt die Bestellabwicklung nur für Beträge größer Null. Um deinen Bestellvorgang abzuschließen, fahre bitte mit dem Standard-Checkout fort."
