"About Your Invoice","Über deine Rechnung"
"About Your Order","Über deine Bestellung"
"About Your Refund","Über deine Gutschrift"
"About Your Shipment","Über deinen Versand"
"Are you sure you want to accept this payment?","Bist du sicher, dass du diese Zahlung akzeptieren willst?"
"Are you sure you want to cancel this order?","Bist du sicher, dass du diese Bestellung stornieren willst?"
"Are you sure you want to delete all items from shopping cart?","Bist du sicher, dass alle Artikel aus deinem Warenkorb entfernt werden sollen?"
"Are you sure you want to deny this payment?","Bist du sicher, dass du diese Zahlung verweigern willst?"
"Are you sure you want to do this?","Bist du sicher, dass du das tun möchtest?"
"Are you sure you want to send Creditmemo email to customer?","Bist du sicher, dass du die Gutschrift per E-Mail an den Kunden senden willst?"
"Are you sure you want to send Invoice email to customer?","Bist du sicher, dass du die Rechnung per E-Mail an den Kunden senden willst?"
"Are you sure you want to send Shipment email to customer?","Bist du sicher, dass du die Versandinformation per E-Mail an den Kunden senden willst?"
"Are you sure you want to send order email to customer?","Bist du sicher, dass du die Bestellbestätigung per E-Mail an den Kunden senden willst?"
"Are you sure you want to void the payment?","Bist du sicher, dass du die Zahlung aufheben willst?"
"Are you sure?","Bist du sicher?"
"Are you sure? This order will be canceled and a new one will be created instead","Bist du sicher? Diese Bestellung wird storniert und stattdessen eine neue erstellt"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If you see image distortion in PDF, try to use larger image","Standardlogo, wird in PDF- und HTML-Dokumenten verwendet.<br />(jpeg, tiff, png) Sollten Verzerrungen im PDF auftreten, versuche bitte ein größeres Bild zu verwenden"
"Enter the billing last name and email/ZIP as in the order billing address","Gib bitte den Nachnamen, die E-Mail-Adresse und PLZ der Rechnungsanschrift ein."
"Entered data is incorrect. Please try again.","Die eigegebenen Daten sind ungültig. Bitte versuche es nocheinmal."
"If the invoice was created offline, try creating an offline creditmemo.","Wenn die Rechnungsstellung offline erfolgt ist, versuche bitte auch offline eine Gutschrift zu erstellen."
"Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings.","Unzureichende Informationen für die Erstellung eines Paketaufklebers. Bitte überprüfe deine Shopinformationen und Versandeinstellungen."
"Nominal item can be purchased standalone only. To proceed please remove other items from the quote.","Nominaler Artikel kann nur einzeln bestellt werden. Um fortzusetzen, entferne bitte andere Artikel der Bestellung."
"Please Select Products to Add","Bitte wähle Artikel zum hinzufügen"
"Please Select a Customer","Bitte wähle einen Kunden"
"Please Select a Store","Bitte wähle einen Store"
"Please check billing address information. %s","Bitte prüfe die Rechnungsanschrift. %s"
"Please check shipping address information. %s","Bitte prüfe die Versandadresse. %s"
"Please define PDF object before using.","Bitte definiere ein PDF Objekt vor der Verwendung."
"Please enter positive number in this field.","Bitte gib hier eine positive Zahl ein."
"Please select a valid payment method.","Bitte wähle eine gültige Zahlart."
"Please specify a shipping method.","Bitte wähle eine Versandart."
"Please specify a valid grid column alias name that exists in grid table.","Bitte gib einen gültigen Spaltennamen an, der in der Tabelle existiert."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Einige der unten stehenden Artikel sind nicht mit den Pflichtoptionen konfiguriert. Bitte bearbeite sie und konfiguriere die erforderlichen Optionen."
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed.","Die Bestellung enthält (%s) Artikel\. Sie kann daher zur Zeit nicht über das AdminPanel bearbeitet werden. Wenn du die die Bestellung dennoch bearbeiten möchtest, werden die (%s) Artikel entfernt, die Bestellung wird stoniert und eine neue Bestellung erstellt."
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","Es wird eine online Erstattung erstellt. Um eine online Erstattung durchzuführen, öffnen Sie bitte eine Rechnung und Erstelle eine Gutschrift. Möchtest du das tun / fortsetzen?"
"Track your order","deine Bestellung verfolgen"
"You can leave a box blank if you don\'t wish to add a gift message for whole order","Du kannst das Textfeld leer lassen, wenn Sie keine Geschenknachricht für die Bestellung hinterlegen möchten"
"You have placed no orders.","Du hast keine Bestellungen getätigt."
"You will be redirected to the payment system website.","Du wirst zur Zahlungsabwicklungs-Webseite weiergeleitet."
"Your credit card will be charged for","Deine Kreditkarte wird belastet für"
